birga,valin,valout,direction,rates,volume
alfa,USD,PZM,buy,0.0197,54.9567297
alfa,USD,PZM,buy,0.0198,20584.12109913
alfa,USD,PZM,buy,0.0199,29307.27514402
alfa,PZM,USD,sell,0.0196,69911.78589184
