birga,valin,valout,direction,rates,volume
hot,USDT,PZM,buy,0.01981002,93.16
hot,USDT,PZM,buy,0.01982,113.16
hot,USDT,PZM,buy,0.01985,135.0
hot,USDT,PZM,buy,0.01987635,391.39
hot,USDT,PZM,buy,0.01991002,1291.92
hot,PZM,USDT,sell,0.01977777,5539.95
hot,PZM,USDT,sell,0.01960097,11934.93
hot,PZM,USDT,sell,0.01929742,12169.5
hot,PZM,USDT,sell,0.01900001,12571.27
hot,PZM,USDT,sell,0.019,12581.27
