,TIME,birga_x,birga_y,rates_x,rates_y,valin_x,valin_y,valout_y,volume_x,volume_y,start,step,back,profit,perc
27,12:09:02,live,live,9549.99999,9500.0,USD,BTC,USD,0.02199473,0.20296233,100.0,0.010452389897630553,99.11928930673812,-0.8807106932618751,-0.8807106932618751
28,12:09:02,live,live,9549.99999,9460.84895,USD,BTC,USD,0.02199473,0.20560005,100.0,0.010452389897630553,98.71080254341048,-1.2891974565895197,-1.2891974565895197
29,12:09:02,live,live,9549.99999,9455.84895,USD,BTC,USD,0.02199473,0.20823916,100.0,0.010452389897630553,98.65863449640693,-1.3413655035930674,-1.3413655035930674
30,12:09:02,live,live,9550.0,9500.0,USD,BTC,USD,0.02615478,0.20296233,100.0,0.010452389886685641,99.1192892029483,-0.8807107970517052,-0.8807107970517052
31,12:09:02,live,live,9550.0,9460.84895,USD,BTC,USD,0.02615478,0.20560005,100.0,0.010452389886685641,98.71080244004837,-1.2891975599516314,-1.2891975599516314
32,12:09:02,live,live,9550.0,9455.84895,USD,BTC,USD,0.02615478,0.20823916,100.0,0.010452389886685641,98.65863439309945,-1.3413656069005526,-1.3413656069005526
33,12:09:02,live,live,9553.37954,9500.0,USD,BTC,USD,0.03185478,0.20296233,100.0,0.01044869231876533,99.08422542251013,-0.91577457748987,-0.9157745774898701
34,12:09:02,live,live,9553.37954,9460.84895,USD,BTC,USD,0.03185478,0.20560005,100.0,0.01044869231876533,98.67588316317033,-1.324116836829674,-1.324116836829674
35,12:09:02,live,live,9553.37954,9455.84895,USD,BTC,USD,0.03185478,0.20823916,100.0,0.01044869231876533,98.6237335708427,-1.3762664291572975,-1.3762664291572975
36,12:09:02,live,live,9465.0,9439.03274747,USDT,BTC,USDT,0.00665231,0.46501462,100.0,0.010546257096444571,99.36760440864262,-0.6323955913573798,-0.6323955913573798
37,12:09:02,live,live,9465.0,9414.20830824,USDT,BTC,USDT,0.00665231,0.46713545,100.0,0.010546257096444571,99.10626989237726,-0.8937301076227442,-0.8937301076227443
38,12:09:02,live,live,9465.0,9358.92412614,USDT,BTC,USDT,0.00665231,0.4839912,100.0,0.010546257096444571,98.52427628308074,-1.475723716919262,-1.475723716919262
39,12:09:02,live,live,9476.86454206,9439.03274747,USDT,BTC,USDT,0.00697187,0.46501462,100.0,0.010533053730464082,99.24320133031695,-0.7567986696830502,-0.7567986696830502
40,12:09:02,live,live,9476.86454206,9414.20830824,USDT,BTC,USDT,0.00697187,0.46713545,100.0,0.010533053730464082,98.98219399128897,-1.0178060087110339,-1.0178060087110339
41,12:09:02,live,live,9476.86454206,9358.92412614,USDT,BTC,USDT,0.00697187,0.4839912,100.0,0.010533053730464082,98.40092900775528,-1.5990709922447195,-1.5990709922447195
42,12:09:02,live,live,9489.82443923,9439.03274747,USDT,BTC,USDT,0.00907713,0.46501462,100.0,0.010518669134193935,99.10766861395335,-0.8923313860466493,-0.8923313860466494
43,12:09:02,live,live,9489.82443923,9414.20830824,USDT,BTC,USDT,0.00907713,0.46713545,100.0,0.010518669134193935,98.84701772285506,-1.1529822771449432,-1.1529822771449432
44,12:09:02,live,live,9489.82443923,9358.92412614,USDT,BTC,USDT,0.00907713,0.4839912,100.0,0.010518669134193935,98.2665465510998,-1.7334534489002067,-1.7334534489002067
171,12:09:02,alfa,alfa,0.0194,0.0191,USD,PZM,USD,1522.00027196,3814.2366555,100.0,5145.377495765354,98.10012993523483,-1.8998700647651674,-1.8998700647651676
172,12:09:02,alfa,alfa,0.0194,0.019,USD,PZM,USD,1522.00027196,30543.9860012,100.0,5145.377495765354,97.58651668950061,-2.4134833104993874,-2.4134833104993874
173,12:09:02,alfa,alfa,0.0194,0.0189,USD,PZM,USD,1522.00027196,30928.33603435,100.0,5145.377495765354,97.07290344376642,-2.927096556233579,-2.927096556233579
174,12:09:02,alfa,live,0.0194,0.02002,USD,PZM,USD,1522.00027196,649.45036995,100.0,5145.377495765354,102.82537179598961,2.8253717959896107,2.8253717959896107
175,12:09:02,alfa,live,0.0194,0.02001,USD,PZM,USD,1522.00027196,1636.45036995,100.0,5145.377495765354,102.77401047141619,2.77401047141619,2.77401047141619
176,12:09:02,alfa,live,0.0194,0.02001,USD,PZM,USD,1522.00027196,1726.74219363,100.0,5145.377495765354,102.77401047141619,2.77401047141619,2.77401047141619
177,12:09:02,alfa,alfa,0.0195,0.0191,USD,PZM,USD,1851.23949019,3814.2366555,100.0,5118.990944505019,97.59705234582337,-2.4029476541766286,-2.4029476541766286
178,12:09:02,alfa,alfa,0.0195,0.019,USD,PZM,USD,1851.23949019,30543.9860012,100.0,5118.990944505019,97.08607301416984,-2.913926985830159,-2.913926985830159
179,12:09:02,alfa,alfa,0.0195,0.0189,USD,PZM,USD,1851.23949019,30928.33603435,100.0,5118.990944505019,96.57509368251634,-3.4249063174836607,-3.4249063174836607
180,12:09:02,alfa,live,0.0195,0.02002,USD,PZM,USD,1851.23949019,649.45036995,100.0,5118.990944505019,102.29806219703582,2.2980621970358186,2.2980621970358186
181,12:09:02,alfa,live,0.0195,0.02001,USD,PZM,USD,1851.23949019,1636.45036995,100.0,5118.990944505019,102.24696426387047,2.246964263870467,2.246964263870467
182,12:09:02,alfa,live,0.0195,0.02001,USD,PZM,USD,1851.23949019,1726.74219363,100.0,5118.990944505019,102.24696426387047,2.246964263870467,2.246964263870467
183,12:09:02,alfa,alfa,0.0195,0.0191,USD,PZM,USD,2449.85625134,3814.2366555,100.0,5118.990944505019,97.59705234582337,-2.4029476541766286,-2.4029476541766286
